,split,class,metric,paper,retry_1,retry_2,retry_3
1,train,Ignored,precision,0.9868025308561255,0.9821602857574081,0.976242465712072,0.9834928422068522
2,train,Ignored,recall,0.9860586201350917,0.9812124928378283,0.9752513067953358,0.9833643262803438
3,train,Ignored,f1-score,0.9864304352416529,0.9816861605302063,0.9757466345501083,0.9834285800449344
5,train,Replied,precision,0.9860694018982574,0.9812309824360558,0.9752781459613608,0.9833663326532458
6,train,Replied,recall,0.9868127449994974,0.9821778595337897,0.9762682561540704,0.9834948333400346
7,train,Replied,f1-score,0.986440933410364,0.9817041926635922,0.9757729498932564,0.9834305787989808
10,train,macro avg,precision,0.9864359663771914,0.981695634096732,0.9757603058367164,0.9834295874300489
11,train,macro avg,recall,0.9864356825672946,0.981695176185809,0.9757597814747031,0.9834295798101892
12,train,macro avg,f1-score,0.9864356843260085,0.9816951765968993,0.9757597922216823,0.9834295794219576
14,train,weighted avg,precision,0.986435962692719,0.9816956294260211,0.9757602888735057,0.9834295877479617
15,train,weighted avg,recall,0.9864356863572857,0.9816951810377756,0.9757597993637136,0.9834295794822309
16,train,weighted avg,f1-score,0.9864356843787688,0.9816951766875295,0.9757597926845917,0.9834295794169349
18,test,Ignored,precision,0.978,0.9603960396039604,0.9739478957915831,0.982
19,test,Ignored,recall,0.978,0.97,0.972,0.982
20,test,Ignored,f1-score,0.978,0.9651741293532339,0.972972972972973,0.982
22,test,Replied,precision,0.978,0.9696969696969697,0.9720558882235529,0.982
23,test,Replied,recall,0.978,0.96,0.974,0.982
24,test,Replied,f1-score,0.978,0.964824120603015,0.973026973026973,0.982
27,test,macro avg,precision,0.978,0.965046504650465,0.973001892007568,0.982
28,test,macro avg,recall,0.978,0.965,0.973,0.982
29,test,macro avg,f1-score,0.978,0.9649991249781245,0.972999972999973,0.982
31,test,weighted avg,precision,0.978,0.965046504650465,0.9730018920075681,0.982
32,test,weighted avg,recall,0.978,0.965,0.973,0.982
33,test,weighted avg,f1-score,0.978,0.9649991249781245,0.972999972999973,0.982
